nodeName	altName	nodeAttr[nodesPresent, ]
PLXNA3	PLXNA3	brown
PMEL	NA	brown
PNMA5	PNMA5	brown
PNMA8B	NA	brown
PNO1	PNO1	brown
PNPLA7	PNPLA7	brown
POLK	POLK	brown
PORCN	PORCN	brown
POU5F1P3	POU5F1P3	brown
PPAN	PPAN	brown
PPBPP2	NA	brown
PPDPF	NA	brown
PPIH	PPIH	brown
PPM1H	PPM1H	brown
PPP2R2C	PPP2R2C	brown
PPP2R3A	PPP2R3A	brown
PRAP1	PRAP1	brown
PRB4	PRB4	brown
PRCD	PRCD	brown
PRDM11	PRDM11	brown
PRDM15	PRDM15	brown
PRINS	PRINS	brown
PRKCG	PRKCG	brown
PRKN	NA	brown
PRLH	PRLH	brown
PRM1	PRM1	brown
PRODH2	PRODH2	brown
PRPH	PRPH	brown
PRR29	NA	brown
PRR30	NA	brown
PRRG3	PRRG3	brown
PRRT1	PRRT1	brown
PRSS1	PRSS1	brown
PRSS2	PRSS2	brown
PRSS3	PRSS3	brown
PRSS33	PRSS33	brown
PRSS8	PRSS8	brown
PRY2	PRY2	brown
PSG11	PSG11	brown
PSG2	PSG2	brown
PSKH2	PSKH2	brown
PSMB4	PSMB4	brown
PSORS1C2	PSORS1C2	brown
PTCH1	PTCH1	brown
PTCHD1	PTCHD1	brown
PTCRA	PTCRA	brown
PTGER4	PTGER4	brown
PTGIR	PTGIR	brown
PTH1R	PTH1R	brown
PTPN5	PTPN5	brown
PTPRD	PTPRD	brown
PTPRO	PTPRO	brown
PTPRU	PTPRU	brown
PVT1	PVT1	brown
PYY	PYY	brown
R3HDML	R3HDML	brown
RAB29	NA	brown
RAB3IP	RAB3IP	brown
RAC3	RAC3	brown
RACGAP1	RACGAP1	brown
RAD51B	NA	brown
RAI1	RAI1	brown
RAPGEF3	RAPGEF3	brown
RARG	RARG	brown
RASA4CP	NA	brown
RASD2	RASD2	brown
RASL12	RASL12	brown
RBMY1A1	NA	brown
RBPJL	RBPJL	brown
RDH8	RDH8	brown
REEP1	REEP1	brown
REG1B	REG1B	brown
RERG	RERG	brown
RETNLB	RETNLB	brown
REV1	REV1	brown
RGR	RGR	brown
RGS11	RGS11	brown
RGS12	RGS12	brown
RHBDD1	RHBDD1	brown
RHPN1	RHPN1	brown
RIMKLB	RIMKLB	brown
RIMS4	RIMS4	brown
RNASE1	RNASE1	brown
RNF139.AS1	NA	brown
RNF215	RNF215	brown
ROBO3	ROBO3	brown
ROR2	ROR2	brown
RPN2	RPN2	brown
RPS6KA2	RPS6KA2	brown
RPS6KB1	RPS6KB1	brown
RPS6KL1	RPS6KL1	brown
RSPH6A	NA	brown
RTF1	RTF1	brown
RTN4RL1	RTN4RL1	brown
RTP1	RTP1	brown
RXRB	RXRB	brown
SAGE1	SAGE1	brown
SAMD11	SAMD11	brown
SAMD7	SAMD7	brown
SAP30BP	SAP30BP	brown
SAPCD1	NA	brown
SC5D	NA	brown
SCAI	NA	brown
SCAMP4	SCAMP4	brown
SCARA3	SCARA3	brown
SCHIP1	SCHIP1	brown
SCN3A	SCN3A	brown
SCN3B	SCN3B	brown
SCNN1B	SCNN1B	brown
SDC1	SDC1	brown
SDHAF4	NA	brown
SEC24B.AS1	NA	brown
SERPINA10	SERPINA10	brown
SERPINA11	SERPINA11	brown
SERPINE1	SERPINE1	brown
SERPINF1	SERPINF1	brown
SERPINF2	SERPINF2	brown
SETD7	SETD7	brown
SEZ6	SEZ6	brown
SEZ6L2	SEZ6L2	brown
SFTA2	SFTA2	brown
SFTPA1	SFTPA1	brown
SFTPB	SFTPB	brown
SFTPC	SFTPC	brown
SGSM1	SGSM1	brown
SH3BP2	SH3BP2	brown
SHISA7	NA	brown
SHOX2	SHOX2	brown
SIK1	SIK1	brown
SIPA1L1	SIPA1L1	brown
SIRT1	SIRT1	brown
SIX3	SIX3	brown
SLC14A2	SLC14A2	brown
SLC16A9	SLC16A9	brown
SLC17A9	NA	brown
SLC22A1	SLC22A1	brown
SLC22A10	SLC22A10	brown
SLC22A17	SLC22A17	brown
SLC22A18	SLC22A18	brown
SLC22A18AS	SLC22A18AS	brown
SLC22A6	SLC22A6	brown
SLC22A7	SLC22A7	brown
SLC25A47	NA	brown
SLC30A3	SLC30A3	brown
SLC34A1	SLC34A1	brown
SLC35B4	SLC35B4	brown
SLC45A2	SLC45A2	brown
SLC52A3	NA	brown
SLC5A1	SLC5A1	brown
SLC5A2	SLC5A2	brown
SLC6A18	SLC6A18	brown
SLC7A4	SLC7A4	brown
SLC8A3	SLC8A3	brown
SLC9A5	SLC9A5	brown
SLC9B1	NA	brown
SLCO1B3	SLCO1B3	brown
SLF2	NA	brown
SLIT3	SLIT3	brown
SLITRK4	SLITRK4	brown
SMAD9	SMAD9	brown
SMOC1	SMOC1	brown
SNAI2	SNAI2	brown
SNX16	SNX16	brown
SNX22	SNX22	brown
SOCS5	SOCS5	brown
SOGA1	NA	brown
SOWAHA	NA	brown
SOX11	SOX11	brown
SOX21	SOX21	brown
SOX30	SOX30	brown
SOX7	SOX7	brown
SP8	SP8	brown
SPACA6	NA	brown
SPATA18	SPATA18	brown
SPATA2	SPATA2	brown
SPATA20	SPATA20	brown
SPATA22	SPATA22	brown
SPATA3	SPATA3	brown
SPATS1	SPATS1	brown
SPINK1	SPINK1	brown
SPP2	SPP2	brown
SPRR1B	SPRR1B	brown
SPRR2D	SPRR2D	brown
SPRY3	SPRY3	brown
SRARP	NA	brown
SRRM4	NA	brown
SSR1	SSR1	brown
SSSCA1.AS1	NA	brown
SSTR1	SSTR1	brown
SSTR2	SSTR2	brown
SSTR5	SSTR5	brown
ST7L	ST7L	brown
STARD3NL	STARD3NL	brown
STMN1	STMN1	brown
STMN2	STMN2	brown
STMND1	NA	brown
STX18.AS1	NA	brown
STXBP6	STXBP6	brown
SULT4A1	SULT4A1	brown
SV2A	SV2A	brown
SYDE1	SYDE1	brown
SYNCRIP	SYNCRIP	brown
SYT6	SYT6	brown
T	T	brown
TAAR5	TAAR5	brown
TACR1	TACR1	brown
TACR3	TACR3	brown
TARDBP	TARDBP	brown
TAS1R1	TAS1R1	brown
TAS2R31	NA	brown
TAS2R40	TAS2R40	brown
TBATA	NA	brown
TBC1D19	TBC1D19	brown
TBC1D26	TBC1D26	brown
TBKBP1	TBKBP1	brown
TCERG1L	TCERG1L	brown
TCF21	TCF21	brown
TCF23	TCF23	brown
TCOF1	TCOF1	brown
TCP10L2	NA	brown
TDG	TDG	brown
TEAD1	TEAD1	brown
TEF	TEF	brown
TEFM	NA	brown
TEKT5	TEKT5	brown
TFAP2E	TFAP2E	brown
TFF3	TFF3	brown
TGFB1I1	TGFB1I1	brown
THAP2	THAP2	brown
THSD4	THSD4	brown
TIGD1	TIGD1	brown
TINAG	TINAG	brown
TJP3	TJP3	brown
TLN2	TLN2	brown
TM6SF2	TM6SF2	brown
TMCC2	TMCC2	brown
TMEM107	TMEM107	brown
TMEM108	TMEM108	brown
TMEM125	TMEM125	brown
TMEM132B	TMEM132B	brown
TMEM14A	TMEM14A	brown
TMEM151A	TMEM151A	brown
TMEM171	TMEM171	brown
TMEM179	TMEM179	brown
TMEM192	TMEM192	brown
TMEM198	TMEM198	brown
TMEM198B	NA	brown
TMEM220	TMEM220	brown
TMEM230	NA	brown
TMEM238L	NA	brown
TMEM30B	TMEM30B	brown
TMEM70	TMEM70	brown
TMEM95	TMEM95	brown
TMIGD3	NA	brown
TMOD4	TMOD4	brown
TMPRSS4	TMPRSS4	brown
TNNI1	TNNI1	brown
TNP2	TNP2	brown
TNXB	TNXB	brown
TONSL	NA	brown
TOR2A	TOR2A	brown
TP53TG3	TP53TG3	brown
TPRXL	TPRXL	brown
TPT1.AS1	NA	brown
TPTE2P6	NA	brown
TREX2	TREX2	brown
TRGV5	TRGV5	brown
TRIM29	TRIM29	brown
TRIM46	TRIM46	brown
TRIM64EP	NA	brown
TRMT61A	TRMT61A	brown
